Keeper,Sleeper ID,Designated Keeper Round,Keeper Pick
,,,
T-Money,,,
Jonathan Taylor,6813,1,5
Jalen Hurts,6904,1,15
Chris Olave,8144,1,22
Justin Jefferson,6794,6,106
Matthew Stafford,421,10,107
Ernest Jones,7672,17,166
,,,
tjdodson07,,,
Joe Burrow,6770,1,3
Ja'Marr Chase,7564,1,11
Travis Etienne,7543,6,68
Puka Nacua,9493,6,71
Jayden Reed,10222,14,133
Trevon Diggs,6809,15,148
,,,
sbaker057,,,
Lamar Jackson,4881,1,10
Brandon Aiyuk,6803,5,60
Brock Purdy,8183,10,100
Isiah Pacheco,8205,12,120
Tyjae Spears,9508,14,140
Antoine Winfield,6888,17,161
,,,
zwade,,,
Breece Hall,8155,1,9
CeeDee Lamb,6786,3,39
De'Von Achane,9226,10,102
Tank Dell,9502,11,119
Robert Spillane,5726,22,219
Chuba Hubbard,7594,22,207
,,,
stoneshewmake6,,,
Kyren Williams,8150,7,69
Calvin Ridley,4981,8,72
Trey McBride,8130,9,89
Rashee Rice,10229,14,132
Kirk Cousins,1166,16,169
Devon Witherspoon,10891,17,189
,,,
BSplitt,,,
Tyreek Hill,3321,1,30
Josh Jacobs,5850,1,36
Mike Evans,2216,6,53
Jordan Love,6804,8,76
Foyesade Oluokun,5332,11,105
Dontayvion Wicks,9486,22,216
,,,
Thehunter66,,,
Travis Kelce,1466,1,34
Davante Adams,2133,1,37
Saquon Barkley,4866,1,44
Alvin Kamara,4035,4,47
Gus Edwards,5248,21,187
Quincy Williams,6214,21,174
,,,
jshumaker19,,,
Patrick Mahomes,4046,4,63
Kenneth Walker,8151,5,75
Justin Herbert,6797,6,78
Amon-Ra St. Brown,7547,8,83
Sam LaPorta,10859,11,103
Zaire Franklin,5346,15,143
,,,
lunte,,,
Christian McCaffrey,4034,1,7
C.J. Stroud,9758,6,52
Josh Allen-QB,4984,6,84
Garrett Wilson,8146,9,97
James Cook,8138,11,104
Bobby Okereke,5944,11,117
,,,
SlyTy,,,
Jahmyr Gibbs,9221,1,21
Bijan Robinson,9509,1,23
A.J. Brown,5859,1,31
Kyler Murray,5849,9,90
Nico Collins,7569,14,131
Alex Singleton,2617,20,191
