Player Name,Sleeper ID,was keeper,2023 keeper round,was drafted,draft round,was dropped,on same roster,was undrafted,designation,2024 keeper round
,,,,,,,,,,
T-Money,,,,,,,,,,
Ivan Pace,11086,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Bobby Wagner,1233,FALSE,6,TRUE,17,FALSE,TRUE,FALSE,drafted,13
Keenan Allen,1479,FALSE,1,TRUE,3,FALSE,FALSE,FALSE,drafted,2
Amari Cooper,2309,FALSE,5,TRUE,5,FALSE,TRUE,FALSE,drafted,4
Tyler Lockett,2374,FALSE,8,TRUE,10,FALSE,FALSE,FALSE,drafted,8
Darren Waller,2505,FALSE,5,TRUE,3,FALSE,TRUE,FALSE,drafted,2
David Njoku,4033,FALSE,16,TRUE,13,TRUE,FALSE,FALSE,undrafted or dropped,14
Aaron Jones,4199,TRUE,5,TRUE,6,FALSE,FALSE,FALSE,keeper,4
Matthew Stafford,421,FALSE,2,TRUE,13,FALSE,FALSE,FALSE,drafted,10
Minkah Fitzpatrick,4963,FALSE,9,TRUE,13,TRUE,FALSE,FALSE,undrafted or dropped,22
Hollywood Brown,5848,FALSE,11,TRUE,14,FALSE,TRUE,FALSE,drafted,11
A.J. Brown,5859,TRUE,1,TRUE,2,FALSE,FALSE,FALSE,keeper,1
Tony Pollard,5967,TRUE,4,TRUE,5,FALSE,FALSE,FALSE,keeper,3
Justin Jefferson,6794,TRUE,8,TRUE,12,FALSE,TRUE,FALSE,keeper,6
Jonathan Taylor,6813,TRUE,1,TRUE,2,FALSE,TRUE,FALSE,keeper,1
Jalen Hurts,6904,TRUE,2,TRUE,3,FALSE,FALSE,FALSE,keeper,1
Rico Dowdle,7021,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Najee Harris,7528,TRUE,1,TRUE,3,FALSE,TRUE,FALSE,keeper,1
Rhamondre Stevenson,7611,TRUE,7,TRUE,10,FALSE,TRUE,FALSE,keeper,5
Ernest Jones,7672,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,17
Camryn Bynum,7715,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Chris Olave,8144,FALSE,7,TRUE,1,FALSE,FALSE,FALSE,drafted,1
Jerome Ford,8143,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
Bryce Young,9228,FALSE,,TRUE,7,TRUE,FALSE,FALSE,undrafted or dropped,19
Jaren Hall,9231,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
,,,,,,,,,,
tjdodson07,,,,,,,,,,
Jayden Reed,10222,FALSE,,TRUE,19,TRUE,TRUE,FALSE,drafted,14
Dalton Kincaid,10236,FALSE,,TRUE,9,FALSE,TRUE,FALSE,drafted,7
Dak Prescott,3294,FALSE,5,TRUE,4,FALSE,FALSE,FALSE,drafted,3
Chris Godwin,4037,FALSE,2,TRUE,6,FALSE,FALSE,FALSE,drafted,5
Kenny Moore,4427,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Baker Mayfield,4892,FALSE,22,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,16
Alexander Mattison,5987,TRUE,10,TRUE,11,FALSE,TRUE,FALSE,keeper,8
Dre Greenlaw,6056,FALSE,20,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
Jake Browning,6111,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
Miles Sanders,6151,FALSE,7,TRUE,5,TRUE,FALSE,FALSE,undrafted or dropped,22
Joe Burrow,6770,TRUE,1,TRUE,4,FALSE,TRUE,FALSE,keeper,1
Patrick Queen,6807,FALSE,,TRUE,13,TRUE,TRUE,FALSE,drafted,10
Trevon Diggs,6809,TRUE,20,TRUE,20,TRUE,TRUE,FALSE,keeper,15
Michael Pittman,6819,FALSE,7,TRUE,6,FALSE,TRUE,FALSE,drafted,5
Cole Kmet,6826,FALSE,22,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,18
Josh Metellus,6901,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Travis Etienne,7543,TRUE,8,TRUE,9,FALSE,TRUE,FALSE,keeper,6
Ja'Marr Chase,7564,TRUE,1,TRUE,3,FALSE,TRUE,FALSE,keeper,1
